Price,Close,High,Low,Open,Volume
Ticker,^AXJO,^AXJO,^AXJO,^AXJO,^AXJO
Date,,,,,
2022-12-13,7203.2998046875,7228.10009765625,7190.2001953125,7192.5,641300
2022-12-14,7251.2998046875,7253.5,7205.7998046875,7208.2001953125,731000
2022-12-15,7204.7998046875,7242.10009765625,7202.60009765625,7242.10009765625,915600
2022-12-16,7148.7001953125,7204.7998046875,7117.60009765625,7204.7998046875,1491200
2022-12-19,7133.89990234375,7152.7001953125,7123.10009765625,7144.39990234375,491300
2022-12-20,7024.2998046875,7124.39990234375,7019.5,7121.0,681300
2022-12-21,7115.10009765625,7139.10009765625,7043.7998046875,7045.0,658500
2022-12-22,7152.5,7167.2001953125,7119.0,7119.39990234375,593900
2022-12-23,7107.7001953125,7152.5,7062.89990234375,7152.5,398000
2022-12-28,7086.39990234375,7124.0,7069.0,7111.60009765625,427500
2022-12-29,7020.10009765625,7074.10009765625,6993.7998046875,7074.10009765625,492200
2022-12-30,7038.7001953125,7073.39990234375,7022.7998046875,7022.7998046875,430700
2023-01-03,6946.2001953125,7071.2998046875,6905.2998046875,7046.2998046875,420300
2023-01-04,7059.2001953125,7059.2001953125,6952.60009765625,6955.2998046875,544500
2023-01-05,7063.60009765625,7099.7001953125,7053.7998046875,7059.7998046875,614900
2023-01-06,7109.60009765625,7116.7998046875,7062.0,7082.7998046875,528600
2023-01-09,7151.2998046875,7186.2001953125,7124.7001953125,7124.7001953125,512500
2023-01-10,7131.0,7151.89990234375,7124.89990234375,7143.10009765625,519900
2023-01-11,7195.2998046875,7204.0,7148.10009765625,7148.10009765625,518400
2023-01-12,7280.39990234375,7288.7001953125,7205.60009765625,7207.7001953125,571500
2023-01-13,7328.10009765625,7357.7998046875,7281.60009765625,7281.60009765625,522900
2023-01-16,7388.2001953125,7396.0,7328.10009765625,7328.10009765625,497000
2023-01-17,7386.2998046875,7399.5,7364.2001953125,7370.7998046875,574800
2023-01-18,7393.39990234375,7410.7998046875,7376.2001953125,7377.2001953125,642600
2023-01-19,7435.2998046875,7439.7001953125,7380.10009765625,7392.5,574600
2023-01-20,7452.2001953125,7457.7998046875,7427.2998046875,7437.89990234375,777300
2023-01-23,7457.2998046875,7472.7998046875,7434.5,7451.2998046875,565700
2023-01-24,7490.39990234375,7497.7998046875,7453.7998046875,7462.2998046875,612900
2023-01-25,7468.2998046875,7507.2998046875,7453.10009765625,7488.39990234375,658200
2023-01-27,7493.7998046875,7508.5,7483.0,7489.60009765625,705000
2023-01-30,7481.7001953125,7505.60009765625,7474.2998046875,7490.60009765625,657200
2023-01-31,7476.7001953125,7516.7998046875,7463.7001953125,7483.0,888100
2023-02-01,7501.7001953125,7537.7001953125,7488.10009765625,7488.10009765625,692800
2023-02-02,7511.60009765625,7548.2001953125,7505.2998046875,7505.7998046875,707400
2023-02-03,7558.10009765625,7565.0,7496.10009765625,7497.2998046875,981500
2023-02-06,7539.0,7567.7001953125,7531.39990234375,7565.10009765625,636000
2023-02-07,7504.10009765625,7553.60009765625,7495.2001953125,7534.2998046875,618500
2023-02-08,7530.10009765625,7534.89990234375,7507.10009765625,7510.60009765625,660100
2023-02-09,7490.2998046875,7521.5,7482.0,7521.39990234375,579900
2023-02-10,7433.7001953125,7486.89990234375,7428.7998046875,7485.2998046875,556700
2023-02-13,7417.7998046875,7430.89990234375,7406.0,7430.89990234375,673500
2023-02-14,7430.89990234375,7476.60009765625,7426.0,7426.89990234375,654900
2023-02-15,7352.2001953125,7440.39990234375,7337.0,7440.39990234375,756500
2023-02-16,7410.2998046875,7422.0,7351.39990234375,7356.0,884200
2023-02-17,7346.7998046875,7413.60009765625,7346.7998046875,7413.60009765625,801700
2023-02-20,7351.5,7357.5,7331.2998046875,7350.7998046875,606700
2023-02-21,7336.2998046875,7340.7998046875,7297.0,7336.5,636000
2023-02-22,7314.5,7338.60009765625,7267.7998046875,7338.60009765625,703400
2023-02-23,7285.39990234375,7306.5,7283.39990234375,7291.7998046875,721200
2023-02-24,7307.0,7315.5,7278.7001953125,7283.2001953125,719600
2023-02-27,7224.7998046875,7282.2998046875,7193.39990234375,7280.7998046875,639600
2023-02-28,7258.39990234375,7273.60009765625,7233.5,7234.39990234375,1001900
2023-03-01,7251.60009765625,7271.39990234375,7216.2998046875,7258.2001953125,668200
2023-03-02,7255.39990234375,7282.39990234375,7242.2001953125,7263.0,987100
2023-03-03,7283.60009765625,7292.5,7263.0,7263.2998046875,565400
2023-03-06,7328.60009765625,7343.89990234375,7291.2001953125,7291.2001953125,591000
